area_fips,industry_code,year,treated,avg_emplvl,post,log_emp
26000,331110,2016,1,5247.88888888889,0,8.565581158313073
26000,331110,2017,1,5177.555555555556,0,8.55208832340156
26000,331110,2018,1,5234.444444444444,0,8.563015994357867
26000,331110,2019,1,5107.666666666667,1,8.538497957910067
26000,331523,2015,0,2507.888888888889,0,7.827196598095537
26000,331523,2016,0,2709.0,0,7.904334842085095
26000,331523,2017,0,2433.6666666666665,0,7.797154315387976
26000,331523,2018,0,2298.8888888888887,0,7.7401811934033695
26000,331523,2019,0,2094.0,1,7.646831391430482
27000,331523,2015,0,1343.4444444444443,0,7.2029920758380275
27000,331523,2016,0,1300.0,0,7.170119543449628
27000,331523,2017,0,1277.5555555555554,0,7.152703808847017
27000,331523,2018,0,845.3333333333334,0,6.7397310268890065
27000,331523,2019,0,823.8888888888888,1,6.714035677235813
28000,331110,2015,1,1256.2222222222224,0,7.135864259899017
28000,331110,2016,1,1344.4444444444443,0,7.203736154248613
28000,331110,2017,1,1201.2222222222224,0,7.091094835956552
28000,331110,2018,1,1277.888888888889,0,7.152964689756362
28000,331110,2019,1,1492.3333333333333,1,7.308096169572856
29000,331110,2015,1,129.2222222222222,0,4.8615335751824444
29000,331110,2016,1,160.55555555555554,0,5.078640023210313
29000,331110,2017,1,158.44444444444446,0,5.065404023638022
29000,331110,2018,1,178.0,0,5.181783550292085
29000,331110,2019,1,313.3333333333333,1,5.74726758659594
29000,331523,2015,0,1051.0,0,6.957497370876951
29000,331523,2016,0,1068.3333333333333,0,6.97385508068666
29000,331523,2017,0,926.4444444444445,0,6.831354081104523
29000,331523,2018,0,878.0,0,6.777646593635117
29000,331523,2019,0,836.6666666666666,1,6.72942574345772
34000,331110,2015,1,523.4444444444445,0,6.260430901363822
34000,331110,2016,1,542.4444444444445,0,6.296085673616686
34000,331110,2017,1,522.4444444444445,0,6.258518651763795
34000,331110,2018,1,522.6666666666666,0,6.258943912242243
34000,331110,2019,1,584.6666666666666,1,6.371041884264018
34000,331523,2015,0,568.6666666666666,0,6.343294439383515
34000,331523,2016,0,609.4444444444445,0,6.412547795373111
34000,331523,2017,0,628.2222222222223,0,6.442893960917316
34000,331523,2018,0,612.2222222222222,0,6.417095324810741
34000,331523,2019,0,457.2222222222222,1,6.12516953577495
35000,331110,2015,1,23.666666666666668,0,3.164067588373206
35000,331110,2016,1,13.555555555555555,0,2.606796467397037
35000,331110,2017,1,42.55555555555555,0,3.7508104118444265
35000,331110,2018,1,15.0,0,2.70805020110221
35000,331110,2019,1,44.0,1,3.784189633918261
36000,331110,2015,1,885.2222222222222,0,6.785838712044146
36000,331110,2016,1,869.3333333333334,0,6.767726634378434
36000,331110,2017,1,865.8888888888888,0,6.763756596507341
36000,331110,2018,1,954.2222222222223,0,6.860896581662453
36000,331110,2019,1,827.5555555555557,1,6.718476241620683
36000,331523,2015,0,123.55555555555556,0,4.816690897474309
36000,331523,2016,0,125.44444444444444,0,4.831862986813443
36000,331523,2017,0,119.1111111111111,0,4.780056764294528
36000,331523,2018,0,113.77777777777777,0,4.734247228263234
36000,331523,2019,0,108.66666666666667,1,4.688285092698598
37000,331110,2015,1,1229.7777777777776,0,7.114588763570597
37000,331110,2016,1,1210.5555555555554,0,7.098834670042501
37000,331110,2017,1,1210.6666666666667,0,7.0989264510530745
37000,331110,2018,1,1220.0,0,7.106606137727303
37000,331110,2019,1,1184.6666666666667,1,7.077216720046487
37000,331523,2015,0,462.22222222222223,0,6.136045775919089
37000,331523,2016,0,478.2222222222222,0,6.170075524505401
37000,331523,2017,0,480.0,0,6.173786103901937
37000,331523,2018,0,532.7777777777777,0,6.278104409981319
37000,331523,2019,0,796.8888888888888,1,6.680715257388804
39000,331110,2015,1,8421.666666666666,0,9.038563029057899
39000,331110,2016,1,7679.11111111111,0,8.9462590787025
39000,331110,2017,1,7726.333333333333,0,8.952389686656568
39000,331110,2018,1,7783.444444444444,0,8.959754249844528
39000,331110,2019,1,8084.555555555556,1,8.997710799016676
39000,331523,2015,0,1834.5555555555557,0,7.514557527095613
39000,331523,2016,0,2063.777777777778,0,7.6322934549997345
39000,331523,2017,0,2054.111111111111,0,7.627598484016226
39000,331523,2018,0,1974.5555555555557,0,7.588098616849267
39000,331523,2019,0,1862.888888888889,1,7.529883727861583
40000,331110,2015,1,721.0,0,6.580639137284949
40000,331110,2016,1,626.4444444444445,0,6.440060094337839
40000,331110,2017,1,634.1111111111112,0,6.452224193200489
40000,331110,2018,1,685.0,0,6.529418838262226
40000,331110,2019,1,742.6666666666666,1,6.610247312379065
41000,331110,2015,1,776.111111111111,0,6.654295694354842
41000,331110,2016,1,809.888888888889,0,6.696897064045994
41000,331110,2017,1,780.0,0,6.659293919683638
